timestamps,ppg_1,ppg_2,ppg_3,ppg_corrected,average_distance,
1546626415,792967.0625,183963520,156443376,0.7929670625,0.01564002037,
1546626415,793772.875,183971568,156480432,0.793772875,0.01564002037,
1546626415,796190.5,183916784,156553776,0.7961905,0.01564002037,
1546626415,791355.3125,183951424,156527184,0.7913553125,0.01563000679,
1546626415,796190.5,183848272,156566672,0.7961905,0.01564002037,
1546626415,795384.625,183932080,156515904,0.795384625,0.01564002037,
1546626415,796190.5,183920800,156574720,0.7961905,0.01563000679,
1546626415,796190.5,183911136,156519920,0.7961905,0.01564002037,
1546626415,793772.875,183896624,156536848,0.793772875,0.01563978195,
1546626415,800219.75,183860368,156539264,0.80021975,0.01564002037,
1546626415,796190.5,183863584,156611792,0.7961905,0.01563000679,
1546626415,801025.625,183890992,156555392,0.801025625,0.01564002037,
1546626415,797802.1875,183856336,156501392,0.7978021875,0.01564002037,
1546626415,796996.3125,183874864,156516704,0.7969963125,0.01563000679,
1546626415,796996.3125,183799120,156544912,0.7969963125,0.01564002037,
1546626415,800219.75,183825712,156527184,0.80021975,0.01564002037,
1546626415,798608.0625,183876480,156545712,0.7986080625,0.01564002037,
1546626415,797802.1875,183849888,156494144,0.7978021875,0.01563000679,
1546626415,798608.0625,183873264,156516704,0.7986080625,0.01564002037,
1546626415,796996.3125,183907104,156494144,0.7969963125,0.01564002037,
1546626415,795384.625,183882928,156561024,0.795384625,0.01563000679,
1546626415,794578.75,183865200,156543296,0.79457875,0.01564002037,
1546626415,796996.3125,183891792,156511056,0.7969963125,0.01564002037,
1546626415,792161.1875,183922416,156558608,0.7921611875,0.01562976837,
1546626415,796190.5,183961104,156588432,0.7961905,0.01564002037,
1546626415,794578.75,183945792,156633552,0.79457875,0.01564002037,
1546626415,796190.5,183985280,156602128,0.7961905,0.01564002037,
1546626415,796190.5,184044912,156653696,0.7961905,0.01563000679,
1546626415,796996.3125,184033632,156659344,0.7969963125,0.01564002037,
1546626415,798608.0625,184025568,156717360,0.7986080625,0.01564002037,
1546626415,797802.1875,184083584,156677072,0.7978021875,0.01563000679,
1546626415,796996.3125,184166592,156685936,0.7969963125,0.01564002037,
1546626415,800219.75,184123072,156743952,0.80021975,0.01564002037,
1546626415,797802.1875,184149664,156690768,0.7978021875,0.01564002037,
1546626415,805054.9375,184184320,156734288,0.8050549375,0.01563000679,
1546626415,800219.75,184198832,156692384,0.80021975,0.01564002037,
1546626415,801025.625,184139200,156692384,0.801025625,0.01564002037,
1546626416,798608.0625,184115024,156629520,0.7986080625,0.01563000679,
1546626416,797802.1875,184072304,156677872,0.7978021875,0.01563978195,
1546626416,798608.0625,184037648,156524768,0.7986080625,0.01564002037,
1546626416,795384.625,184023952,156472384,0.795384625,0.01564002037,
1546626416,795384.625,183956256,156399040,0.795384625,0.01563000679,
1546626416,792967.0625,183931280,156328944,0.7929670625,0.01564002037,
1546626416,796190.5,183853920,156241104,0.7961905,0.01564002037,
1546626416,794578.75,183893408,156166160,0.79457875,0.01563000679,
1546626416,795384.625,183981248,156120224,0.795384625,0.01564002037,
1546626416,792161.1875,183994944,156162928,0.7921611875,0.01564002037,
1546626416,792967.0625,183997360,156129088,0.7929670625,0.01564002037,
1546626416,792967.0625,183985280,156193552,0.7929670625,0.01563000679,
1546626416,794578.75,184028784,156219344,0.79457875,0.01564002037,
1546626416,796190.5,184086816,156237072,0.7961905,0.01564002037,
1546626416,796996.3125,184142416,156253184,0.7969963125,0.01563000679,
1546626416,796190.5,184155312,156307184,0.7961905,0.01563978195,
1546626416,796996.3125,184170624,156365200,0.7969963125,0.01564002037,
1546626416,800219.75,184236704,156348272,0.80021975,0.01564002037,
1546626416,796190.5,184209312,156361168,0.7961905,0.01563000679,
1546626416,795384.625,184199632,156386160,0.795384625,0.01564002037,
1546626416,801831.5,184289888,156401472,0.8018315,0.01564002037,
1546626416,797802.1875,184209312,156450624,0.7978021875,0.01563000679,
1546626416,796996.3125,184259264,156430480,0.7969963125,0.01564002037,
1546626416,796996.3125,184283440,156445792,0.7969963125,0.01564002037,
1546626416,796996.3125,184306000,156469152,0.7969963125,0.01564002037,
1546626416,796996.3125,184268128,156436112,0.7969963125,0.01563000679,
1546626416,794578.75,184309232,156487696,0.79457875,0.01564002037,
1546626416,796996.3125,184314064,156485280,0.7969963125,0.01564002037,
1546626416,796996.3125,184278608,156534432,0.7969963125,0.01563000679,
1546626416,800219.75,184323744,156528784,0.80021975,0.01563978195,
1546626416,797802.1875,184302784,156529600,0.7978021875,0.01564002037,
1546626416,798608.0625,184285856,156562640,0.7986080625,0.01563000679,
1546626416,796996.3125,184376928,156519920,0.7969963125,0.01564002037,
1546626416,798608.0625,184409152,156511056,0.7986080625,0.01564002037,
1546626416,796190.5,184339040,156594064,0.7961905,0.01564002037,
1546626416,799413.9375,184371280,156577136,0.7994139375,0.01563000679,
