timestamps,eeg_1,eeg_2,eeg_3,eeg_4,ppg_1,ppg_2,ppg_3
1553360314.2087917,877.985351562,820.769226074,811.904785156,865.494506836,,,
1553360314.2126906,825.201477051,815.128234863,806.26373291,809.890136719,,,
1553360314.2145274,,,,,,,
1553360314.2146420,,,,,,,
1553360314.2147894,,,,,,,
1553360314.2165895,806.666687012,807.875488281,813.113525391,812.307678223,,,
1553360314.2186470,,,,,2392600.75,167888208.0,159834432.0
1553360314.2204883,850.183166504,811.098876953,819.560424805,863.076904297,,,
1553360314.2243874,869.120849609,814.725280762,811.098876953,864.688659668,,,
1553360314.2282863,836.886474609,812.710632324,807.47253418,815.128234863,,,
1553360314.2321851,811.904785156,807.875488281,811.098876953,803.040283203,,,
1553360314.2341609,,,,,,,
1553360314.2342463,,,,,2390183.25,167934944.0,159812672.0
1553360314.2344229,,,,,,,
1553360314.2360840,836.080566406,808.681335449,813.113525391,851.391967773,,,
1553360314.2399831,855.018310547,809.487182617,808.278381348,872.344299316,,,
1553360314.2438819,826.007324219,809.487182617,805.860778809,835.274719238,,,
1553360314.2477808,788.534790039,808.681335449,814.32232666,796.190490723,,,
1553360314.2498109,,,,,,,
1553360314.2498453,,,,,2396630.0,167939776.0,159861024.0
1553360314.2516797,809.487182617,809.487182617,810.293029785,823.992675781,,,
1553360314.2537944,,,,,,,
1553360314.2540565,,,,,,,
1553360314.2555788,854.615356445,813.516479492,804.652038574,873.553100586,,,
1553360314.2594776,839.706970215,814.725280762,804.652038574,843.333312988,,,
1553360314.2633765,797.399291992,815.53112793,804.249084473,791.758239746,,,
1553360314.2654445,,,,,2386959.75,167976848.0,159875536.0
1553360314.2672753,801.428588867,813.919433594,801.428588867,817.948730469,,,
1553360314.2711744,840.512817383,813.113525391,800.622680664,880.402954102,,,
1553360314.2734280,,,,,,,
1553360314.2736897,,,,,,,
1553360314.2750733,844.945068359,814.32232666,801.025634766,870.329650879,,,
1553360314.2789721,805.054931641,814.725280762,801.831481934,808.681335449,,,
1553360314.2810438,,,,,2392600.75,167911568.0,159850544.0
1553360314.2828710,790.549438477,814.32232666,807.47253418,806.666687012,,,
1553360314.2849798,,,,,,,
1553360314.2867701,832.857116699,816.336975098,812.710632324,860.256408691,,,
1553360314.2906690,860.256408691,819.560424805,812.710632324,877.582397461,,,
1553360314.2930615,,,,,,,
1553360314.2933233,,,,,,,
1553360314.2945678,823.186828613,819.157531738,809.890136719,831.245422363,,,
1553360314.2966430,,,,,2387765.5,167967184.0,159818320.0
1553360314.2984667,785.311340332,816.739929199,809.487182617,804.652038574,,,
1553360314.3020866,,,,,,,
1553360314.3020866,,,,,,,
1553360314.3023133,,,,,,,
1553360314.3023343,,,,,,,
1553360314.3023603,,,,,,,
1553360314.3023658,803.040283203,815.934082031,804.652038574,859.047607422,,,
1553360314.3024769,,,,,,,
1553360314.3025386,,,,,,,
1553360314.3025789,,,,,,,
1553360314.3026099,,,,,,,
1553360314.3026428,,,,,,,
1553360314.3027663,,,,,,,
1553360314.3028021,,,,,,,
1553360314.3028281,,,,,,,
1553360314.3028588,,,,,,,
1553360314.3029513,,,,,,,
